"Herbivore, xylophagus","Herbivore, folivorous","Herbivore, nectarivorous/palnyvorous","Herbivore, phytosuccivorous","Herbivore, algivorous","Herbivore, frugivore","Herbivore, radicivorous","Herbivore, granivorous","Carnivore, parasitoid","Carnivore, entomophagous","Carnivore, parasitic","Decomposer, saprophytic","Decomposer, detrivorous","Fungivore, fungivorous"
varia,ohelo,villosa,ssp,,,,,,,,,,.
cv,Vaccinium,ssp,varia,,,,,,,,,,cepaeFusarium
Lana,reticulatum,varia,cv,,,,,,,,,,oxysporum
nanea,vetch,cv,Lana,,,,,,,,,,f.sp
Vigna,woolypod,Lana,nanea,,,,,,,,,,.
marina,Vicia,nanea,Vigna,,,,,,,,,,chrysanthemiFusarium
cowpea,villosa,Vigna,marina,,,,,,,,,,oxysporum
Vigna,ssp,marina,cowpea,,,,,,,,,,f.sp
unguiculata,varia,cowpea,Vigna,,,,,,,,,,.
pohinahina,cv,Vigna,unguiculata,,,,,,,,,,cicerisFusarium
beach,Lana,unguiculata,pohinahina,,,,,,,,,,oxysporum
vitex,nanea,pohinahina,beach,,,,,,,,,,f.sp
Vitex,Vigna,beach,vitex,,,,,,,,,,.
rotundifolia,marina,vitex,Vitex,,,,,,,,,,conglutinansFusarium
syn,cowpea,Vitex,rotundifolia,,,,,,,,,,oxysporum
Vitex,Vigna,rotundifolia,syn,,,,,,,,,,f.sp
ovata,unguiculata,syn,Vitex,,,,,,,,,,.
blue,pohinahina,Vitex,ovata,,,,,,,,,,cubenseFusarium
vitex,beach,ovata,blue,,,,,,,,,,oxysporum
nanulega,vitex,blue,vitex,,,,,,,,,,f.sp
Vitex,Vitex,vitex,nanulega,,,,,,,,,,.
trifolia,rotundifolia,nanulega,Vitex,,,,,,,,,,cucurbitacearumFusarium
var,syn,Vitex,trifolia,,,,,,,,,,oxysporum
variegata,Vitex,trifolia,var,,,,,,,,,,f.sp
uhaloa,ovata,var,variegata,,,,,,,,,,.
escobilla,blue,variegata,uhaloa,,,,,,,,,,cyclaminisFusarium
sabana,vitex,uhaloa,escobilla,,,,,,,,,,oxysporum
waltheria,nanulega,escobilla,sabana,,,,,,,,,,f.sp
Waltheria,Vitex,sabana,waltheria,,,,,,,,,,.
indica,trifolia,waltheria,Waltheria,,,,,,,,,,dianthiFusarium
akia,var,Waltheria,indica,,,,,,,,,,oxysporum
Wikstroemia,variegata,indica,akia,,,,,,,,,,f.sp
uvaursi,uhaloa,akia,Wikstroemia,,,,,,,,,,.
corn,escobilla,Wikstroemia,uvaursi,,,,,,,,,,gladioliFusarium
Zea,sabana,uvaursi,corn,,,,,,,,,,oxysporum
mays,waltheria,corn,Zea,,,,,,,,,,f.sp
zoysia,Waltheria,Zea,mays,,,,,,,,,,.
Zoysia,indica,mays,zoysia,,,,,,,,,,koaeFusarium
japonica,akia,zoysia,Zoysia,,,,,,,,,,oxysporum
a,Wikstroemia,Zoysia,japonica,,,,,,,,,,f.sp
ali,uvaursi,japonica,a,,,,,,,,,,.
i,corn,a,ali,,,,,,,,,,lycopersiciFusarium
lampuye,Zea,ali,i,,,,,,,,,,oxysporum
Dodonaea,mays,i,lampuye,,,,,,,,,,f.sp
viscosa,zoysia,lampuye,Dodonaea,,,,,,,,,,.
ahgao,Zoysia,Dodonaea,viscosa,,,,,,,,,,medicaginisFusarium
aloalo,japonica,viscosa,ahgao,,,,,,,,,,oxysporum
topwuk,a,ahgao,aloalo,,,,,,,,,,f.sp
fienkack,ali,aloalo,topwuk,,,,,,,,,,.
arr,i,topwuk,fienkack,,,,,,,,,,nicotianaeFusarium
nior,lampuye,fienkack,arr,,,,,,,,,,oxysporum
lior,Dodonaea,arr,nior,,,,,,,,,,f.sp
FALSE,viscosa,nior,lior,,,,,,,,,,.
elder,ahgao,lior,FALSE,,,,,,,,,,niveumFusarium
Premna,aloalo,FALSE,elder,,,,,,,,,,oxysporum
obtusifolia,topwuk,elder,Premna,,,,,,,,,,f.sp
syn,fienkack,Premna,obtusifolia,,,,,,,,,,.
Premna,arr,obtusifolia,syn,,,,,,,,,,phaseoliFusarium
serratifolia,nior,syn,Premna,,,,,,,,,,oxysporum
ahu,lior,Premna,serratifolia,,,,,,,,,,f.sp
awa,FALSE,serratifolia,ahu,,,,,,,,,,.
marsh,elder,ahu,awa,,,,,,,,,,pisiFusarium
cypress,Premna,awa,marsh,,,,,,,,,,oxysporum
Cyperus,obtusifolia,marsh,cypress,,,,,,,,,,f.sp
javanicus,syn,cypress,Cyperus,,,,,,,,,,.
akia,Premna,Cyperus,javanicus,,,,,,,,,,radicis-lycopersiciFusarium
Wikstroemia,serratifolia,javanicus,akia,,,,,,,,,,oxysporum
uvaursi,ahu,akia,Wikstroemia,,,,,,,,,,f.sp
aki,awa,Wikstroemia,uvaursi,,,,,,,,,,.
aki,marsh,uvaursi,aki,,,,,,,,,,vasinfectumFusarium
totoput,cypress,aki,aki,,,,,,,,,,pallidoroseum
Sporobolus,Cyperus,aki,totoput,,,,,,,,,,Fusarium
virginicus,javanicus,totoput,Sporobolus,,,,,,,,,,palustre
ala,akia,Sporobolus,virginicus,,,,,,,,,,Fusarium
a,Wikstroemia,virginicus,ala,,,,,,,,,,poae
Pouteria,uvaursi,ala,a,,,,,,,,,,Fusarium
sandwicensis,aki,a,Pouteria,,,,,,,,,,proliferatum
alahe,aki,Pouteria,sandwicensis,,,,,,,,,,Fusarium
e,totoput,sandwicensis,alahe,,,,,,,,,,pseudograminearum
Canthium,Sporobolus,alahe,e,,,,,,,,,,Fusarium
ordoratum,virginicus,e,Canthium,,,,,,,,,,semitectum
syn,ala,Canthium,ordoratum,,,,,,,,,,Fusarium
Psydrax,a,ordoratum,syn,,,,,,,,,,solani
odorata,Pouteria,syn,Psydrax,,,,,,,,,,Fusarium
alfalfa,sandwicensis,Psydrax,odorata,,,,,,,,,,solani
Medicago,alahe,odorata,alfalfa,,,,,,,,,,f.sp
sativa,e,alfalfa,Medicago,,,,,,,,,,.
annual,Canthium,Medicago,sativa,,,,,,,,,,cucurbitaeFusarium
ryegrass,ordoratum,sativa,annual,,,,,,,,,,solani
Lolium,syn,annual,ryegrass,,,,,,,,,,f.sp
multiflorum,Psydrax,ryegrass,Lolium,,,,,,,,,,.
areca,odorata,Lolium,multiflorum,,,,,,,,,,phaseoliFusarium
palm,alfalfa,multiflorum,areca,,,,,,,,,,sporotrichioides
Chrysalidocarpus,Medicago,areca,palm,,,,,,,,,,Fusarium
letuscens,sativa,palm,Chrysalidocarpus,,,,,,,,,,subglutinans
Australian,annual,Chrysalidocarpus,letuscens,,,,,,,,,,Fusarium
bushcherry,ryegrass,letuscens,Australian,,,,,,,,,,thapsinum
Syzygium,Lolium,Australian,bushcherry,,,,,,,,,,Fusarium
paniculatum,multiflorum,bushcherry,Syzygium,,,,,,,,,,virguliforme
syn,areca,Syzygium,paniculatum,,,,,,,,,,Fuscoporia
Eugenia,palm,paniculatum,syn,,,,,,,,,,gilva
myrtifolia,Chrysalidocarpus,syn,Eugenia,,,,,,,,,,Fusicoccum
Australian,letuscens,Eugenia,myrtifolia,,,,,,,,,,aesculi
saltbush,Australian,myrtifolia,Australian,,,,,,,,,,Fusicoccum
Atriplex,bushcherry,Australian,saltbush,,,,,,,,,,amygdali
semibaccata,Syzygium,saltbush,Atriplex,,,,,,,,,,Fusicoccum
avocado,paniculatum,Atriplex,semibaccata,,,,,,,,,,putrefaciens
Persea,syn,semibaccata,avocado,,,,,,,,,,Gaeumannomyces
americana,Eugenia,avocado,Persea,,,,,,,,,,cylindrosporus
awa,myrtifolia,Persea,americana,,,,,,,,,,Gaeumannomyces
ava,Australian,americana,awa,,,,,,,,,,graminis
kava,saltbush,awa,ava,,,,,,,,,,Gaeumannomyces
sakau,Atriplex,ava,kava,,,,,,,,,,graminis
Piper,semibaccata,kava,sakau,,,,,,,,,,var
methysticum,avocado,sakau,Piper,,,,,,,,,,.
aweoweo,Persea,Piper,methysticum,,,,,,,,,,avenaeGaeumannomyces
Chenopodium,americana,methysticum,aweoweo,,,,,,,,,,graminis
oahuense,awa,aweoweo,Chenopodium,,,,,,,,,,var
bamboo,ava,Chenopodium,oahuense,,,,,,,,,,.
Bambusa,kava,oahuense,bamboo,,,,,,,,,,graminisGaeumannomyces
sp,sakau,bamboo,Bambusa,,,,,,,,,,graminis
barnyardgrass,Piper,Bambusa,sp,,,,,,,,,,var
Echinochloa,methysticum,sp,barnyardgrass,,,,,,,,,,.
crusgalli,aweoweo,barnyardgrass,Echinochloa,,,,,,,,,,triticiGanoderma
Baron,Chenopodium,Echinochloa,crusgalli,,,,,,,,,,applanatum
s,oahuense,crusgalli,Baron,,,,,,,,,,Ganoderma
grass,bamboo,Baron,s,,,,,,,,,,australe
paddlegrass,Bambusa,s,grass,,,,,,,,,,Ganoderma
reh,sp,grass,paddlegrass,,,,,,,,,,gibbosum
padil,barnyardgrass,paddlegrass,reh,,,,,,,,,,Ganoderma
Ischaemum,Echinochloa,reh,padil,,,,,,,,,,lucidum
polystachyum,crusgalli,padil,Ischaemum,,,,,,,,,,Ganoderma
syn,Baron,Ischaemum,polystachyum,,,,,,,,,,oregonense
Ischaemum,s,polystachyum,syn,,,,,,,,,,Ganoderma
digitatum,grass,syn,Ischaemum,,,,,,,,,,resinaceum
beach,paddlegrass,Ischaemum,digitatum,,,,,,,,,,Ganoderma
heliotrope,reh,digitatum,beach,,,,,,,,,,tsugae
hunig,padil,beach,heliotrope,,,,,,,,,,Geosmithia
Tournefortia,Ischaemum,heliotrope,hunig,,,,,,,,,,morbida
argentea,polystachyum,hunig,Tournefortia,,,,,,,,,,Geotrichum
beefsteak,syn,Tournefortia,argentea,,,,,,,,,,candidum
Acalypha,Ischaemum,argentea,beefsteak,,,,,,,,,,Gibberella
wilkensiana,digitatum,beefsteak,Acalypha,,,,,,,,,,acuminata
big,beach,Acalypha,wilkensiana,,,,,,,,,,Gibberella
trefoil,heliotrope,wilkensiana,big,,,,,,,,,,baccata
Lotus,hunig,big,trefoil,,,,,,,,,,Gibberella
pedunculatus,Tournefortia,trefoil,Lotus,,,,,,,,,,fujikuroi
blue,argentea,Lotus,pedunculatus,,,,,,,,,,Gibberella
vitex,beefsteak,pedunculatus,blue,,,,,,,,,,fujikuroi
nanulega,Acalypha,blue,vitex,,,,,,,,,,var
Vitex,wilkensiana,vitex,nanulega,,,,,,,,,,.
trifolia,big,nanulega,Vitex,,,,,,,,,,subglutinansGibberella
var,trefoil,Vitex,trifolia,,,,,,,,,,intricans
variegata,Lotus,trifolia,var,,,,,,,,,,Gibberella
Bougainvillea,pedunculatus,var,variegata,,,,,,,,,,pulicaris
felila,blue,variegata,Bougainvillea,,,,,,,,,,Gibberella
Bougainvillea,vitex,Bougainvillea,felila,,,,,,,,,,tricincta
spectabilis,nanulega,felila,Bougainvillea,,,,,,,,,,Gibberella
breadfruit,Vitex,Bougainvillea,spectabilis,,,,,,,,,,zeae
ulu,trifolia,spectabilis,breadfruit,,,,,,,,,,Gliocephalotrichum
lemai,var,breadfruit,ulu,,,,,,,,,,bulbilium
Artocarpus,variegata,ulu,lemai,,,,,,,,,,Gliocephalotrichum
altilis,Bougainvillea,lemai,Artocarpus,,,,,,,,,,simplex
bristly,felila,Artocarpus,altilis,,,,,,,,,,Gliocladium
foxtail,Bougainvillea,altilis,bristly,,,,,,,,,,vermoesenii
Setaria,spectabilis,bristly,foxtail,,,,,,,,,,Gloeocercospora
verticillata,breadfruit,foxtail,Setaria,,,,,,,,,,sorghi
broadleaf,ulu,Setaria,verticillata,,,,,,,,,,Gloeocoryneum
carpetgrass,lemai,verticillata,broadleaf,,,,,,,,,,cinereum
Axonopus,Artocarpus,broadleaf,carpetgrass,,,,,,,,,,Gloeodes
compressus,altilis,carpetgrass,Axonopus,,,,,,,,,,pomigena
bromegrass,bristly,Axonopus,compressus,,,,,,,,,,Gloeophyllum
Bromus,foxtail,compressus,bromegrass,,,,,,,,,,sepiarium
inermis,Setaria,bromegrass,Bromus,,,,,,,,,,Gloeoporus
bromegrass,verticillata,Bromus,inermis,,,,,,,,,,dichrous
Bromus,broadleaf,inermis,bromegrass,,,,,,,,,,Gloeosporium
wildenowii,carpetgrass,bromegrass,Bromus,,,,,,,,,,apocryptum
brushbox,Axonopus,Bromus,wildenowii,,,,,,,,,,Gloeosporium
Lophostemon,compressus,wildenowii,brushbox,,,,,,,,,,minus
confertus,bromegrass,brushbox,Lophostemon,,,,,,,,,,Gloeosporium
syn,Bromus,Lophostemon,confertus,,,,,,,,,,musarum
Tristania,inermis,confertus,syn,,,,,,,,,,Gloeosporium
conferta,bromegrass,syn,Tristania,,,,,,,,,,weirianum
buckwheat,Bromus,Tristania,conferta,,,,,,,,,,Glomerella
Fagopyrum,wildenowii,conferta,buckwheat,,,,,,,,,,graminicola
esculentum,brushbox,buckwheat,Fagopyrum,,,,,,,,,,Gnomonia
buffelgrass,Lophostemon,Fagopyrum,esculentum,,,,,,,,,,comari
Cenchrus,confertus,esculentum,buffelgrass,,,,,,,,,,Gnomonia
ciliaris,syn,buffelgrass,Cenchrus,,,,,,,,,,intermedia
syn,Tristania,Cenchrus,ciliaris,,,,,,,,,,Gnomonia
Pennisetum,conferta,ciliaris,syn,,,,,,,,,,leptostyla
ciliare,buckwheat,syn,Pennisetum,,,,,,,,,,Gnomoniella
cadaga,Fagopyrum,Pennisetum,ciliare,,,,,,,,,,fraxini
Eucalyptus,esculentum,ciliare,cadaga,,,,,,,,,,Godronia
torreliana,buffelgrass,cadaga,Eucalyptus,,,,,,,,,,cassandrae
California,Cenchrus,Eucalyptus,torreliana,,,,,,,,,,Golovinomyces
cypress,ciliaris,torreliana,California,,,,,,,,,,cichoracearum
Cupressus,syn,California,cypress,,,,,,,,,,Graphiola
macrocarpa,Pennisetum,cypress,Cupressus,,,,,,,,,,phoenicis
callitris,ciliare,Cupressus,macrocarpa,,,,,,,,,,Grifola
Callitris,cadaga,macrocarpa,callitris,,,,,,,,,,frondosa
sp,Eucalyptus,callitris,Callitris,,,,,,,,,,Grovesiella
cape,torreliana,Callitris,sp,,,,,,,,,,abieticola
marigold,California,sp,cape,,,,,,,,,,Grovesinia
Dimorphotheca,cypress,cape,marigold,,,,,,,,,,pyramidalis
sinuata,Cupressus,marigold,Dimorphotheca,,,,,,,,,,Guignardia
carpet,macrocarpa,Dimorphotheca,sinuata,,,,,,,,,,aesculi
bugle,callitris,sinuata,carpet,,,,,,,,,,Guignardia
Ajuga,Callitris,carpet,bugle,,,,,,,,,,bidwellii
reptans,sp,bugle,Ajuga,,,,,,,,,,Guignardia
centipedegrass,cape,Ajuga,reptans,,,,,,,,,,musae
Eremochloa,marigold,reptans,centipedegrass,,,,,,,,,,Guignardia
ophiuroides,Dimorphotheca,centipedegrass,Eremochloa,,,,,,,,,,philoprina
cereal,sinuata,Eremochloa,ophiuroides,,,,,,,,,,Gymnoconia
rye,carpet,ophiuroides,cereal,,,,,,,,,,nitens
Secale,bugle,cereal,rye,,,,,,,,,,Gymnosporangium
cereale,Ajuga,rye,Secale,,,,,,,,,,bethelii
Chinese,reptans,Secale,cereale,,,,,,,,,,Gymnosporangium
fir,centipedegrass,cereale,Chinese,,,,,,,,,,clavipes
Cunninghamia,Eremochloa,Chinese,fir,,,,,,,,,,Gymnosporangium
lanceolata,ophiuroides,fir,Cunninghamia,,,,,,,,,,confusum
coconut,cereal,Cunninghamia,lanceolata,,,,,,,,,,Gymnosporangium
niu,rye,lanceolata,coconut,,,,,,,,,,cornutum
lius,Secale,coconut,niu,,,,,,,,,,Gymnosporangium
iru,cereale,niu,lius,,,,,,,,,,effusum
lu,Chinese,lius,iru,,,,,,,,,,Gymnosporangium
ni,fir,iru,lu,,,,,,,,,,globosum
niyog,Cunninghamia,lu,ni,,,,,,,,,,Gymnosporangium
nizok,lanceolata,ni,niyog,,,,,,,,,,inconspicuum
nu,coconut,niyog,nizok,,,,,,,,,,Gymnosporangium
Cocos,niu,nizok,nu,,,,,,,,,,juniperi-virginianae
nucifera,lius,nu,Cocos,,,,,,,,,,Gymnosporangium
colpachi,iru,Cocos,nucifera,,,,,,,,,,libocedri
croton,lu,nucifera,colpachi,,,,,,,,,,Gymnosporangium
Croton,ni,colpachi,croton,,,,,,,,,,nelsonii
reflexifolius,niyog,croton,Croton,,,,,,,,,,Gymnosporangium
common,nizok,Croton,reflexifolius,,,,,,,,,,nidus-avis
Bermudagrass,nu,reflexifolius,common,,,,,,,,,,Harpophora
Cynodon,Cocos,common,Bermudagrass,,,,,,,,,,graminicola
dactylon,nucifera,Bermudagrass,Cynodon,,,,,,,,,,Helicobasidium
Cook,colpachi,Cynodon,dactylon,,,,,,,,,,brebissonii
pine,croton,dactylon,Cook,,,,,,,,,,Helminthosporium
Araucaria,Croton,Cook,pine,,,,,,,,,,solani
columnaris,reflexifolius,pine,Araucaria,,,,,,,,,,Hemiphacidium
corn,common,Araucaria,columnaris,,,,,,,,,,planum
Zea,Bermudagrass,columnaris,corn,,,,,,,,,,Hericium
mays,Cynodon,corn,Zea,,,,,,,,,,americanum
cowpea,dactylon,Zea,mays,,,,,,,,,,Hericium
Vigna,Cook,mays,cowpea,,,,,,,,,,coralloides
unguiculata,pine,cowpea,Vigna,,,,,,,,,,Hericium
croton,Araucaria,Vigna,unguiculata,,,,,,,,,,erinaceus
Codium,columnaris,unguiculata,croton,,,,,,,,,,Herpotrichia
variegatum,corn,croton,Codium,,,,,,,,,,juniperi
day,Zea,Codium,variegatum,,,,,,,,,,Heterobasidion
lily,mays,variegatum,day,,,,,,,,,,annosum
Hemerocallis,cowpea,day,lily,,,,,,,,,,Heterobasidion
aurantiaca,Vigna,lily,Hemerocallis,,,,,,,,,,irregulare
dichondra,unguiculata,Hemerocallis,aurantiaca,,,,,,,,,,Heterobasidion
Dichondra,croton,aurantiaca,dichondra,,,,,,,,,,occidentale
repens,Codium,dichondra,Dichondra,,,,,,,,,,Hypodermella
digitgrass,variegatum,Dichondra,repens,,,,,,,,,,laricis
Digitaria,day,repens,digitgrass,,,,,,,,,,Inonotus
eriantha,lily,digitgrass,Digitaria,,,,,,,,,,circinatus
cv,Hemerocallis,Digitaria,eriantha,,,,,,,,,,Inonotus
Pangola,aurantiaca,eriantha,cv,,,,,,,,,,dryadeus
digitgrass,dichondra,cv,Pangola,,,,,,,,,,Inonotus
Digitaria,Dichondra,Pangola,digitgrass,,,,,,,,,,obliquus
eriantha,repens,digitgrass,Digitaria,,,,,,,,,,Inonotus
cv,digitgrass,Digitaria,eriantha,,,,,,,,,,rheades
Transvala,Digitaria,eriantha,cv,,,,,,,,,,Insolibasidium
dracaena,eriantha,cv,Transvala,,,,,,,,,,deformans
Dracaena,cv,Transvala,dracaena,,,,,,,,,,Irpex
fragans,Pangola,dracaena,Dracaena,,,,,,,,,,lacteus
Dunn,digitgrass,Dracaena,fragans,,,,,,,,,,Isthmiella
s,Digitaria,fragans,Dunn,,,,,,,,,,abietis
eucalyptus,eriantha,Dunn,s,,,,,,,,,,Itersonilia
Eucalyptus,cv,s,eucalyptus,,,,,,,,,,perplexans
dunnii,Transvala,eucalyptus,Eucalyptus,,,,,,,,,,Kabatiella
dwarf,dracaena,Eucalyptus,dunnii,,,,,,,,,,apocrypta
brassaia,Dracaena,dunnii,dwarf,,,,,,,,,,Kabatiella
Schfflera,fragans,dwarf,brassaia,,,,,,,,,,zeae
arboricola,Dunn,brassaia,Schfflera,,,,,,,,,,Kabatina
dwarf,s,Schfflera,arboricola,,,,,,,,,,juniperi
Brazilian,eucalyptus,arboricola,dwarf,,,,,,,,,,Khuskia
banana,Eucalyptus,dwarf,Brazilian,,,,,,,,,,oryzae
Musa,dunnii,Brazilian,banana,,,,,,,,,,Kretzschmaria
sp,dwarf,banana,Musa,,,,,,,,,,clavus
cv,brassaia,Musa,sp,,,,,,,,,,Kweilingia
Santa,Schfflera,sp,cv,,,,,,,,,,divina
Catarina,arboricola,cv,Santa,,,,,,,,,,Labyrinthula
Prata,dwarf,Santa,Catarina,,,,,,,,,,terrestris
dwarf,Brazilian,Catarina,Prata,,,,,,,,,,Laetiporus
coconut,banana,Prata,dwarf,,,,,,,,,,huroniensis
niu,Musa,dwarf,coconut,,,,,,,,,,Laetiporus
lius,sp,coconut,niu,,,,,,,,,,persicinus
iru,cv,niu,lius,,,,,,,,,,Laetiporus
lu,Santa,lius,iru,,,,,,,,,,sulphureus
ni,Catarina,iru,lu,,,,,,,,,,Laetisaria
niyog,Prata,lu,ni,,,,,,,,,,arvalis
nizok,dwarf,ni,niyog,,,,,,,,,,Laetisaria
nu,coconut,niyog,nizok,,,,,,,,,,fuciformis
Cocos,niu,nizok,nu,,,,,,,,,,Laricifomes
nucifera,lius,nu,Cocos,,,,,,,,,,officinalis
emoloa,iru,Cocos,nucifera,,,,,,,,,,Lasiodiplodia
kawelu,lu,nucifera,emoloa,,,,,,,,,,theobromae
lovegrass,ni,emoloa,kawelu,,,,,,,,,,Laxitextum
Eragrostis,niyog,kawelu,lovegrass,,,,,,,,,,bicolor
variabilis,nizok,lovegrass,Eragrostis,,,,,,,,,,Lentinus
FALSE,nu,Eragrostis,variabilis,,,,,,,,,,strigosus
kamani,Cocos,variabilis,FALSE,,,,,,,,,,Lepista
talie,nucifera,FALSE,kamani,,,,,,,,,,nuda
talisai,emoloa,kamani,talie,,,,,,,,,,Lepteutypa
miich,kawelu,talie,talisai,,,,,,,,,,cupressi
tropical,lovegrass,talisai,miich,,,,,,,,,,Leptographium
almond,Eragrostis,miich,tropical,,,,,,,,,,procerum
Terminalia,variabilis,tropical,almond,,,,,,,,,,Leptographium
catappa,FALSE,almond,Terminalia,,,,,,,,,,terebrantis
ferntree,kamani,Terminalia,catappa,,,,,,,,,,Leptosphaeria
Filicium,talie,catappa,ferntree,,,,,,,,,,biglobosa
decipiens,talisai,ferntree,Filicium,,,,,,,,,,Leptosphaeria
fishtail,miich,Filicium,decipiens,,,,,,,,,,coniothyrium
palm,tropical,decipiens,fishtail,,,,,,,,,,Leptosphaeria
Caryota,almond,fishtail,palm,,,,,,,,,,maculans
mitis,Terminalia,palm,Caryota,,,,,,,,,,Leptosphaeria
forage,catappa,Caryota,mitis,,,,,,,,,,pratensis
peanut,ferntree,mitis,forage,,,,,,,,,,Leptosphaerulina
Arachis,Filicium,forage,peanut,,,,,,,,,,argentinensis
glabrata,decipiens,peanut,Arachis,,,,,,,,,,Leptosphaerulina
forage,fishtail,Arachis,glabrata,,,,,,,,,,australis
peanut,palm,glabrata,forage,,,,,,,,,,Leptosphaerulina
Arachis,Caryota,forage,peanut,,,,,,,,,,crassiasca
pintoi,mitis,peanut,Arachis,,,,,,,,,,Leptosphaerulina
cv,forage,Arachis,pintoi,,,,,,,,,,trifolii
Amarillo,peanut,pintoi,cv,,,,,,,,,,Leptothyrium
forage,Arachis,cv,Amarillo,,,,,,,,,,pseudotsugae
sorghum,glabrata,Amarillo,forage,,,,,,,,,,Leptotrochila
hybrid,forage,forage,sorghum,,,,,,,,,,medicaginis
Sorghum,peanut,sorghum,hybrid,,,,,,,,,,Leucostoma
bicolor,Arachis,hybrid,Sorghum,,,,,,,,,,kunzei
giant,pintoi,Sorghum,bicolor,,,,,,,,,,Leucostoma
Bermudagrass,cv,bicolor,giant,,,,,,,,,,persoonii
Cynodon,Amarillo,giant,Bermudagrass,,,,,,,,,,Leveillula
dactylon,forage,Bermudagrass,Cynodon,,,,,,,,,,taurica
gliricidia,sorghum,Cynodon,dactylon,,,,,,,,,,Limonomyces
madre,hybrid,dactylon,gliricidia,,,,,,,,,,roseipellis
de,Sorghum,gliricidia,madre,,,,,,,,,,Linospora
cacao,bicolor,madre,de,,,,,,,,,,tetraspora
Gliricidia,giant,de,cacao,,,,,,,,,,Lirula
sepium,Bermudagrass,cacao,Gliricidia,,,,,,,,,,abietis-concoloris
green,Cynodon,Gliricidia,sepium,,,,,,,,,,Lirula
panicgrass,dactylon,sepium,green,,,,,,,,,,macrospora
Urochloa,gliricidia,green,panicgrass,,,,,,,,,,Lirula
maxima,madre,panicgrass,Urochloa,,,,,,,,,,mirabilis
syn,de,Urochloa,maxima,,,,,,,,,,Lophodermella
Panicum,cacao,maxima,syn,,,,,,,,,,concolor
maximum,Gliricidia,syn,Panicum,,,,,,,,,,Lophodermella
var,sepium,Panicum,maximum,,,,,,,,,,montivaga
trichoglume,green,maximum,var,,,,,,,,,,Lophodermella
guineagrass,panicgrass,var,trichoglume,,,,,,,,,,morbida
Urochloa,Urochloa,trichoglume,guineagrass,,,,,,,,,,Lophodermium
maxima,maxima,guineagrass,Urochloa,,,,,,,,,,decorum
syn,syn,Urochloa,maxima,,,,,,,,,,Lophodermium
Panicum,Panicum,maxima,syn,,,,,,,,,,juniperinum
maximum,maximum,syn,Panicum,,,,,,,,,,Lophodermium
hala,var,Panicum,maximum,,,,,,,,,,oxycocci
ongor,trichoglume,maximum,hala,,,,,,,,,,Lophodermium
fasa,guineagrass,hala,ongor,,,,,,,,,,piceae
Pandanus,Urochloa,ongor,fasa,,,,,,,,,,Lophodermium
tectorius,maxima,fasa,Pandanus,,,,,,,,,,pinastri
hapu,syn,Pandanus,tectorius,,,,,,,,,,Lophodermium
u,Panicum,tectorius,hapu,,,,,,,,,,seditiosum
tree,maximum,hapu,u,,,,,,,,,,Lophodermium
fern,hala,u,tree,,,,,,,,,,versicolor
Cibotium,ongor,tree,fern,,,,,,,,,,Lophomerum
menziesii,fasa,fern,Cibotium,,,,,,,,,,autumnale
heen,Pandanus,Cibotium,menziesii,,,,,,,,,,Macalpinomyces
naran,tectorius,menziesii,heen,,,,,,,,,,neglectus
seedy,hapu,heen,naran,,,,,,,,,,Macrophomina
tangerine,u,naran,seedy,,,,,,,,,,phaseolina
Citrus,tree,seedy,tangerine,,,,,,,,,,Magnaporthe
lycopersicaeformis,fern,tangerine,Citrus,,,,,,,,,,grisea
hetero,Cibotium,Citrus,lycopersicaeformis,,,,,,,,,,Magnaporthe
Desmodium,menziesii,lycopersicaeformis,hetero,,,,,,,,,,poae
heterophyllum,heen,hetero,Desmodium,,,,,,,,,,Marasmius
hibiscus,naran,Desmodium,heterophyllum,,,,,,,,,,inoderma
Chinese,seedy,heterophyllum,hibiscus,,,,,,,,,,Marssonina
aute,tangerine,hibiscus,Chinese,,,,,,,,,,populi
flores,Citrus,Chinese,aute,,,,,,,,,,Marssonina
rosa,lycopersicaeformis,aute,flores,,,,,,,,,,tremulae
Hibicus,hetero,flores,rosa,,,,,,,,,,Melampsora
rosasinensis,Desmodium,rosa,Hibicus,,,,,,,,,,abietis-canadensis
Ifit,heterophyllum,Hibicus,rosasinensis,,,,,,,,,,Melampsora
ifil,hibiscus,rosasinensis,Ifit,,,,,,,,,,abietis-capraearum
ipil,Chinese,Ifit,ifil,,,,,,,,,,Melampsora
ifilele,aute,ifil,ipil,,,,,,,,,,arctica
dort,flores,ipil,ifilele,,,,,,,,,,Melampsora
choyo,rosa,ifilele,dort,,,,,,,,,,epitea
kubok,Hibicus,dort,choyo,,,,,,,,,,Melampsora
kuren,rosasinensis,choyo,kubok,,,,,,,,,,farlowii
Intsia,Ifit,kubok,kuren,,,,,,,,,,Melampsora
bijuga,ifil,kuren,Intsia,,,,,,,,,,medusae
ilima,ipil,Intsia,bijuga,,,,,,,,,,Melampsora
Sida,ifilele,bijuga,ilima,,,,,,,,,,medusae
fallax,dort,ilima,Sida,,,,,,,,,,f.sp
ilima,choyo,Sida,fallax,,,,,,,,,,.
papa,kubok,fallax,ilima,,,,,,,,,,tremuloidisMelampsora
Sida,kuren,ilima,papa,,,,,,,,,,occidentalis
fallax,Intsia,papa,Sida,,,,,,,,,,Melampsora
intortum,bijuga,Sida,fallax,,,,,,,,,,paradoxa
